,ĞŞÊÎÎ»µãÊı
Unigene010213_01.p1,3
Unigene025845_01.p1,3
Unigene004330_01.p1,3
Unigene043775_01.p1,3
Unigene048079_01.p1,3
Unigene026986_01.p1,3
Unigene022404_02.p1,3
Unigene012855_01.p1,3
Unigene004313_01.p1,3
Unigene001882_01.p1,3
Unigene040465_01.p1,3
Unigene012998_01.p1,3
Unigene044930_01.p1,3
Unigene007686_01.p1,3
Unigene022535_01.p1,3
Unigene046181_01.p1,3
Unigene001499_02.p1,3
Unigene007029_01.p1,3
Unigene002458_02.p1,3
Unigene017576_01.p1,3
Unigene020897_01.p1,3
Unigene015103_01.p1,3
Unigene034954_01.p1,3
Unigene045360_01.p1,3
Unigene001649_02.p1,3
Unigene008880_01.p1,3
Unigene001330_01.p1,3
Unigene034101_01.p1,3
Unigene050110_01.p1,3
Unigene000381_02.p1,3
Unigene043129_01.p1,3
Unigene020621_01.p1,3
Unigene040506_01.p1,3
Unigene022835_02.p1,3
Unigene022493_01.p1,3
Unigene033380_01.p1,3
Unigene016223_01.p1,3
Unigene040822_01.p1,3
Unigene023192_01.p1,3
Unigene035587_01.p1,3
Unigene050422_01.p1,3
Unigene013121_01.p1,3
Unigene049194_01.p1,3
Unigene046678_01.p1,3
Unigene031380_01.p1,3
Unigene005633_01.p1,3
Unigene050382_01.p1,3
Unigene026303_01.p1,3
Unigene016570_01.p1,3
Unigene049187_02.p1,3
Unigene002018_02.p1,3
Unigene011406_01.p1,3
Unigene036246_01.p1,3
Unigene005739_01.p1,3
Unigene000504_01.p1,3
Unigene038012_01.p1,3
Unigene005729_01.p1,3
Unigene002408_02.p1,3
Unigene016528_01.p1,3
Unigene003987_02.p1,3
Unigene035337_01.p1,3
Unigene017609_02.p1,3
Unigene010973_01.p1,3
Unigene043706_01.p1,3
Unigene003695_02.p1,3
Unigene050186_01.p1,3
Unigene003593_01.p1,3
Unigene024231_01.p1,3
Unigene028305_01.p1,3
Unigene039222_01.p1,3
Unigene019655_01.p1,3
Unigene004387_03.p1,3
Unigene003357_02.p1,3
Unigene039607_01.p1,3
Unigene033036_01.p1,3
Unigene006137_01.p1,3
Unigene049631_01.p1,3
Unigene000511_01.p1,3
Unigene022081_01.p1,3
Unigene021776_01.p1,3
Unigene013476_01.p1,3
Unigene004410_01.p1,3
Unigene005034_01.p1,3
Unigene034778_01.p1,3
Unigene043313_01.p1,3
Unigene038250_01.p1,3
Unigene003766_02.p1,3
Unigene048643_01.p1,3
Unigene046694_01.p1,3
Unigene039403_01.p1,3
Unigene001285_02.p1,3
Unigene037709_01.p1,3
Unigene001033_01.p1,3
Unigene009825_01.p2,3
Unigene046283_01.p1,3
Unigene014164_01.p1,3
Unigene015296_02.p1,3
Unigene023756_01.p1,3
Unigene001496_02.p1,3
Unigene026337_01.p1,3
Unigene006373_02.p1,3
Unigene008778_01.p1,3
Unigene016853_01.p1,3
Unigene019171_01.p1,3
Unigene039552_01.p1,3
Unigene036091_01.p1,3
Unigene000249_01.p1,3
Unigene000103_02.p1,3
Unigene002316_02.p1,3
Unigene008427_03.p1,3
Unigene050418_01.p1,3
Unigene045417_01.p1,3
Unigene047731_01.p1,3
Unigene035318_01.p1,3
Unigene011418_01.p1,3
Unigene002181_01.p1,3
Unigene040514_01.p1,3
Unigene008282_01.p1,3
Unigene027245_01.p1,3
Unigene006750_02.p1,3
Unigene006627_01.p1,3
Unigene041141_01.p1,3
Unigene042348_01.p1,3
Unigene010509_01.p2,3
Unigene037576_01.p1,3
Unigene039122_01.p1,3
Unigene016154_01.p1,3
Unigene011969_01.p1,3
Unigene029837_01.p1,3
